Area,Low happiness score,Low worthwhile score,Low life satisfaction score
E01015236,414,255,334
E01015237,403,268,336
E01015238,415,300,343
E01015239,445,368,399
E01015240,453,362,392
E01015241,452,316,377
E01015242,418,301,366
E01015243,367,253,317
E01015244,392,261,319
E01015245,362,246,310
E01015246,364,238,294
E01015247,522,360,432
E01015248,450,333,406
E01015249,487,350,426
E01015250,425,278,337
E01015251,293,188,235
E01015252,744,505,611
E01015253,456,287,338
E01015254,357,242,299
E01015255,562,463,512
E01015256,565,463,514
E01015257,462,340,421
E01015258,581,435,498
E01015259,420,312,380
E01015260,509,413,461
E01015261,631,488,549
E01015262,421,285,353
E01015263,534,408,503
E01015264,373,253,306
E01015265,411,279,352
E01015266,530,394,500
E01015267,480,387,418
E01015268,454,360,391
E01015269,439,325,374
E01015270,465,384,417
E01015271,337,225,267
E01019886,749,508,642
E01019887,449,314,389
E01019888,454,329,376
E01019889,416,272,336
E01019890,488,307,379
E01019891,357,223,283
E01019892,687,432,559
E01019893,483,289,367
E01019894,353,254,282
E01019895,322,196,238
E01019896,383,255,303
E01019897,459,321,398
E01019898,577,361,433
E01019899,392,271,325
E01019900,425,258,332
E01019901,292,172,239
E01019902,541,353,437
E01019903,486,304,365
E01019904,433,303,375
E01019905,482,261,321
E01019906,414,281,340
E01019907,407,271,331
E01019908,549,360,455
E01019909,467,317,373
E01019910,434,267,350
E01019911,410,273,334
E01019912,457,355,389
E01019913,433,367,383
E01019914,721,518,653
E01019915,444,284,355
E01019916,613,475,554
E01019917,439,298,360
E01019918,568,421,476
E01019919,533,399,483
E01019920,439,288,363
E01019921,421,265,327
E01019922,497,366,439
E01019923,383,272,346
E01019924,482,326,420
E01019925,360,231,296
E01019927,426,326,388
E01019928,414,285,357
E01019929,419,274,347
E01019930,379,253,323
E01019931,317,185,225
E01019932,505,374,456
E01019933,370,259,308
E01019934,458,293,366
E01019935,275,175,225
E01019936,265,166,210
E01019937,502,314,397
E01019938,504,298,412
E01019939,327,193,252
E01019940,358,211,260
E01019942,497,337,408
E01019943,423,260,341
E01019944,432,277,339
E01019945,546,318,409
E01019946,344,229,273
E01019947,544,421,474
E01019948,367,262,315
E01019949,382,269,311
E01019950,368,270,331
E01019951,528,330,418
E01019952,474,334,404
E01019953,386,252,326
E01019954,575,402,517
E01019955,481,349,415
E01019956,499,382,432
E01019957,432,328,363
E01019958,473,309,382
E01019959,271,165,212
E01019960,303,165,234
E01019961,627,365,470
E01019962,601,360,457
E01019963,404,258,323
E01019964,497,284,379
E01019965,463,303,356
E01019966,236,143,185
E01019967,282,167,231
E01019968,414,271,334
E01019969,389,268,308
E01019970,386,234,303
E01019971,503,385,436
E01019972,458,325,399
E01019973,442,305,381
E01019974,432,302,374
E01019975,476,332,418
E01019976,392,256,302
E01019977,457,305,396
E01019980,530,393,478
E01019981,460,306,383
E01019982,500,350,417
E01019983,422,286,362
E01019984,399,257,328
E01019985,480,363,451
E01019986,402,268,327
E01019987,513,393,445
E01019988,413,280,339
E01019989,327,218,266
E01019990,512,395,483
E01019991,514,385,466
E01019992,490,327,425
E01019993,328,206,255
E01019994,493,361,394
E01019995,591,492,558
E01019996,333,264,275
E01019997,429,291,337
E01019998,396,249,322
E01019999,306,186,226
E01020000,475,366,448
E01020001,326,195,234
E01020002,483,338,418
E01020003,433,259,329
E01020004,394,243,303
E01020005,572,388,498
E01020006,690,489,601
E01020007,444,285,317
E01020008,530,347,420
E01020009,428,275,321
E01020010,601,432,545
E01020011,327,206,254
E01020012,507,353,445
E01020013,412,288,357
E01020014,565,419,532
E01020015,680,510,661
E01020016,747,619,662
E01020017,733,538,611
E01020018,689,564,605
E01020019,501,322,340
E01020020,457,293,326
E01020021,466,310,345
E01020022,552,414,448
E01020023,602,401,491
E01020024,405,264,296
E01020025,415,296,326
E01020026,470,295,365
E01020027,474,327,392
E01020029,486,340,421
E01020030,648,486,567
E01020031,538,358,448
E01020032,418,268,328
E01020033,527,344,425
E01020035,525,331,409
E01020036,468,332,408
E01020037,478,366,450
E01020038,414,261,307
E01020039,712,553,692
E01020040,388,281,348
E01020041,709,503,617
E01020042,427,263,328
E01020043,546,344,445
E01020044,393,246,311
E01020045,381,222,301
E01020046,383,223,303
E01020047,588,392,479
E01020048,625,464,544
E01020049,289,171,237
E01020050,528,338,444
E01020051,441,282,353
E01020052,580,431,505
E01020053,486,334,425
E01020054,620,367,459
E01020055,555,388,481
E01020056,481,292,397
E01020057,657,472,595
E01020058,501,308,385
E01020059,508,318,402
E01020060,513,376,445
E01020061,557,343,428
E01020062,377,235,283
E01020063,693,470,594
E01020064,538,371,445
E01020065,611,433,532
E01020066,787,454,605
E01020067,691,508,650
E01020068,371,232,278
E01020069,385,231,308
E01020070,433,264,358
E01020071,499,326,403
E01020072,386,218,302
E01020073,411,263,329
E01020074,491,299,384
E01020075,485,291,388
E01020076,454,279,384
E01020077,376,229,294
E01020078,478,379,449
E01020079,441,334,401
E01020080,291,182,230
E01020081,372,269,333
E01020082,285,166,226
E01020083,615,378,473
E01020084,421,285,361
E01020085,422,260,325
E01020086,383,245,306
E01020087,480,300,400
E01020088,495,309,392
E01020089,629,396,513
E01020090,386,228,298
E01020091,357,225,291
E01020092,367,254,296
E01020093,423,296,366
E01020094,599,513,565
E01020095,500,363,454
E01020096,539,404,472
E01020097,532,300,439
E01020098,506,316,400
E01020099,329,205,247
E01020100,248,151,194
E01020101,396,254,311
E01020102,441,271,322
E01020103,554,407,521
E01020104,367,272,343
E01020105,422,281,344
E01020106,264,176,209
E01020107,416,266,333
E01020108,559,357,424
E01020109,310,183,239
E01020110,785,504,616
E01020111,461,349,419
E01020112,551,454,519
E01020113,449,329,389
E01020114,380,266,329
E01020115,311,215,263
E01020116,479,331,397
E01020117,383,250,309
E01020118,436,313,381
E01020119,338,206,250
E01020120,429,242,298
E01020121,536,337,437
E01020122,397,242,311
E01020123,391,270,337
E01020124,349,241,282
E01020125,327,209,262
E01020126,424,293,342
E01020127,420,248,343
E01020128,336,205,249
E01020129,360,252,312
E01020130,490,352,428
E01020131,518,302,410
E01020132,534,373,445
E01020133,364,232,291
E01020134,380,273,333
E01020135,490,343,425
E01020136,465,304,375
E01020137,456,315,393
E01020138,617,380,498
E01020139,464,338,408
E01020140,317,215,260
E01020141,576,414,522
E01020142,572,357,452
E01020143,551,344,436
E01020144,398,236,295
E01020145,569,328,438
E01020146,328,218,243
E01020147,463,289,367
E01020148,270,157,202
E01020149,350,220,285
E01020150,434,271,344
E01020151,387,263,310
E01020152,427,331,372
E01020153,280,187,222
E01020154,493,339,431
E01020155,391,296,370
E01020156,484,302,363
E01020157,539,305,422
E01020158,419,268,335
E01020159,360,225,285
E01020160,486,291,369
E01020161,695,472,571
E01020162,429,280,346
E01020163,460,265,336
E01020164,425,258,319
E01020165,413,254,318
E01020166,385,222,281
E01020167,330,185,224
E01020168,569,386,467
E01020169,659,447,541
E01020170,541,346,433
E01020171,421,256,311
E01020172,452,289,362
E01020173,379,262,306
E01020174,369,230,277
E01020175,465,290,368
E01020176,278,167,211
E01020177,404,278,334
E01020178,492,315,394
E01020179,453,276,354
E01020180,584,422,523
E01020181,515,337,426
E01020182,427,294,368
E01020183,391,279,321
E01020184,483,350,400
E01020185,306,191,242
E01020186,324,197,240
E01020187,457,299,369
E01020188,450,274,333
E01020189,611,448,529
E01020190,479,299,359
E01020191,480,320,380
E01020192,389,239,299
E01020193,388,226,291
E01020194,364,203,262
E01020195,472,309,400
E01020196,501,345,414
E01020197,320,192,243
E01020198,418,293,362
E01020199,439,293,358
E01020200,261,163,206
E01020201,368,230,291
E01020202,461,307,376
E01020203,404,269,320
E01020204,470,324,389
E01020205,315,186,243
E01020206,419,279,342
E01020207,395,243,319
E01020208,404,277,353
E01020209,427,284,356
E01020210,281,171,208
E01020211,502,380,472
E01020212,373,256,326
E01020213,435,300,375
E01020214,403,263,325
E01020215,323,201,242
E01020216,506,343,441
E01020217,525,406,457
E01020218,525,397,461
E01020219,574,353,441
E01020220,443,290,367
E01020221,456,280,351
E01020222,324,199,237
E01020223,454,286,353
E01020224,389,276,339
E01020225,394,289,341
E01020226,296,180,219
E01020227,423,287,347
E01020228,546,443,495
E01020229,577,377,444
E01020230,443,307,358
E01020231,387,253,312
E01020232,495,341,427
E01020233,419,261,314
E01020234,487,334,410
E01020235,469,330,400
E01020236,299,187,224
E01020237,383,223,271
E01020238,314,193,242
E01020239,293,178,242
E01020240,422,277,335
E01020241,433,259,311
E01020242,467,261,336
E01020243,283,177,212
E01020244,398,275,343
E01020245,398,238,302
E01020246,283,169,215
E01020247,436,290,355
E01020248,389,227,291
E01020249,326,208,260
E01020250,431,271,335
E01020251,360,210,255
E01020252,414,285,342
E01020253,392,241,286
E01020254,433,311,392
E01020255,372,239,306
E01020256,370,247,302
E01020257,289,181,229
E01020258,446,291,360
E01020259,250,147,204
E01020260,312,199,237
E01020261,278,169,217
E01020262,288,175,225
E01020263,400,262,308
E01020264,479,371,417
E01020265,440,271,339
E01020266,413,247,313
E01020267,383,265,309
E01020268,374,244,293
E01020269,610,499,555
E01020270,425,278,343
E01020271,477,354,415
E01020272,625,435,568
E01020273,328,191,246
E01020274,285,168,220
E01020275,391,286,339
E01020276,381,244,305
E01020277,680,495,618
E01020278,417,250,333
E01020279,836,557,697
E01020280,739,578,670
E01020281,502,301,381
E01020282,517,387,452
E01020283,381,258,313
E01020284,650,447,548
E01020285,645,464,585
E01020286,383,226,314
E01020287,361,220,298
E01020288,416,249,333
E01020289,357,202,279
E01020290,417,261,330
E01020291,381,238,318
E01020292,384,236,310
E01020293,529,331,441
E01020294,578,398,478
E01020295,395,240,326
E01020296,344,209,269
E01020297,488,366,442
E01020298,525,336,399
E01020299,471,326,399
E01020300,413,258,310
E01020301,466,283,385
E01020302,410,232,321
E01020303,381,232,298
E01020304,502,346,416
E01020305,342,254,298
E01020306,325,213,263
E01020307,497,331,414
E01020308,434,253,343
E01020309,371,219,303
E01020310,581,409,473
E01020311,506,316,422
E01020312,372,232,294
E01020313,437,291,364
E01020314,373,227,292
E01020315,390,255,315
E01020316,396,234,306
E01020317,331,201,244
E01020318,351,234,293
E01020319,381,215,298
E01020320,363,214,297
E01020321,612,400,494
E01020322,497,281,389
E01020323,579,364,472
E01020324,350,213,273
E01020325,368,224,304
E01020326,558,351,454
E01020327,513,329,421
E01020328,705,493,611
E01020329,414,271,319
E01020330,565,395,489
E01020331,388,226,307
E01020332,498,355,426
E01020333,442,269,346
E01020334,542,367,464
E01020335,412,280,330
E01020336,311,189,230
E01020337,401,304,359
E01020338,680,461,559
E01020339,412,264,330
E01020340,412,257,343
E01020341,344,203,250
E01020342,438,281,360
E01032628,483,294,399
E01032657,477,404,433
E01032658,460,390,418
E01033232,461,290,341
E01033233,1898,1195,1406
E01033234,427,320,381
E01033235,354,253,278
E01033236,291,208,228
E07000040,36172,24092,29673
E07000041,36631,25512,30553
E07000042,21258,13905,17556
E07000043,25585,17142,21226
E07000044,21871,14120,17426
E07000045,34180,22542,27661
E07000046,17416,11467,14440
E07000047,13849,8898,11248
E10000008,206966,137681,169785
E06000026,79690,56338,68204
E06000027,38551,27514,32810
IMDQ1,52411,40455,48120
IMDQ2,82751,58198,70920
IMDQ3,87463,57670,71390
IMDQ4,65863,42070,52045
IMDQ5,36717,23139,28323
E02003122,1770,1141,1403
E02003123,2683,1898,2373
E02003124,2624,1900,2351
E02003125,2010,1456,1813
E02003126,2280,1559,1924
E02003127,2530,1804,2275
E02003128,2904,2132,2584
E02003129,1776,1180,1422
E02003130,3412,2464,3057
E02003131,2410,1715,2121
E02003132,2414,1661,2046
E02003133,2172,1469,1860
E02003134,2267,1628,2090
E02003135,2792,2116,2582
E02003136,2140,1384,1716
E02003137,2012,1252,1509
E02003138,2115,1379,1686
E02003139,1708,1046,1302
E02003140,2087,1281,1652
E02003141,2558,1910,2264
E02003142,3009,2156,2667
E02003143,2223,1481,1832
E02003144,2708,1823,2043
E02003145,2106,1468,1766
E02003146,2679,1830,2213
E02003147,3112,2553,2961
E02003148,3363,2747,3013
E02003149,3128,2346,2697
E02003150,4059,3285,3727
E02003151,1925,1189,1490
E02003152,2565,1667,2099
E02003153,2138,1401,1652
E02003154,2271,1621,2016
E02003155,1679,1193,1414
E02003156,2764,1852,2248
E02003157,1973,1501,1761
E02003158,1692,1233,1453
E02003159,1751,1258,1504
E02003161,2278,1824,2049
E02003163,2176,1683,1868
E02003164,2334,1551,1877
E02003165,2038,1383,1718
E02003166,3228,2234,2778
E02003167,2952,2341,2645
E02003168,1923,1318,1593
E02003169,1685,1085,1349
E02003170,2735,1957,2322
E02003171,2091,1439,1763
E02004129,1328,819,1081
E02004130,1760,1253,1520
E02004131,1531,999,1252
E02004132,2020,1217,1599
E02004133,2306,1568,1929
E02004134,2014,1250,1575
E02004135,1986,1236,1563
E02004136,2037,1280,1602
E02004137,1308,810,1036
E02004138,2007,1453,1705
E02004139,1917,1338,1664
E02004140,1405,1021,1178
E02004141,1453,891,1131
E02004142,1539,948,1169
E02004143,1737,1117,1369
E02004144,1861,1218,1513
E02004145,1518,1027,1222
E02004146,2225,1518,1897
E02004147,2154,1594,1874
E02004148,2056,1525,1782
E02004149,2927,1827,2190
E02004150,2275,1640,1971
E02004151,2374,1556,1975
E02004152,2406,1632,1798
E02004153,2333,1651,2037
E02004154,2489,1724,2054
E02004155,2450,1801,2227
E02004156,3255,2576,2832
E02004157,1756,1227,1389
E02004158,2567,1786,2184
E02004159,2773,1826,2197
E02004160,2185,1476,1838
E02004161,2674,1932,2437
E02004162,2152,1485,1783
E02004163,2007,1365,1633
E02004164,1577,962,1278
E02004165,2108,1311,1669
E02004166,1671,1061,1367
E02004167,2370,1707,2114
E02004168,1917,1448,1730
E02004169,1805,1147,1433
E02004170,2334,1537,1922
E02004171,1921,1210,1558
E02004172,1537,927,1241
E02004173,1805,1106,1418
E02004174,2208,1486,1820
E02004175,1704,1285,1531
E02004176,1399,906,1096
E02004177,1749,1225,1478
E02004178,1255,769,963
E02004179,2563,1677,2085
E02004180,1344,800,1034
E02004181,1743,1218,1478
E02004182,1994,1507,1803
E02004183,1607,1126,1353
E02004184,2550,1761,2178
E02004185,1441,930,1136
E02004186,2161,1371,1741
E02004187,2463,1565,2044
E02004188,1604,996,1300
E02004189,1647,1004,1262
E02004190,1979,1200,1540
E02004191,2402,1685,2040
E02004192,1757,1110,1351
E02004193,3141,1939,2398
E02004194,1558,973,1233
E02004195,1700,1230,1484
E02004196,1723,1083,1347
E02004197,1511,945,1164
E02004198,1840,1282,1539
E02004199,1327,836,1039
E02004200,1285,828,1023
E02004201,1258,783,967
E02004202,2120,1312,1629
E02004203,1340,817,1055
E02004204,2504,1607,1971
E02004205,1903,1279,1541
E02004206,1922,1371,1620
E02004207,1615,1043,1262
E02004208,2037,1307,1599
E02004209,2333,1530,1893
E02004210,2192,1660,1956
E02004211,1580,972,1208
E02004212,1687,1087,1359
E02004213,1610,1014,1263
E02004214,1942,1461,1730
E02004215,1621,1100,1350
E02004216,1535,1022,1270
E02004217,2153,1433,1779
E02004218,1434,896,1123
E02004219,1386,838,1075
E02004220,1732,1224,1486
E02004221,1520,1004,1183
E02004222,1758,1267,1504
E02004223,3612,2473,3097
E02004224,1541,937,1240
E02004225,1668,1145,1392
E02004226,1683,1022,1363
E02004227,2271,1420,1863
E02004228,1625,973,1309
E02004229,2031,1247,1635
E02004230,2198,1490,1841
E02004231,1725,1079,1393
E02004232,1543,936,1248
E02004233,3289,2229,2717
E02004234,1464,900,1129
E02004235,1596,1013,1281
E02006840,2972,2034,2447
TOWN01,2153,1433,1779
TOWN02,3757,2442,3066
TOWN03,12506,8510,10476
TOWN04,10505,7112,8762
TOWN05,3260,2089,2623
TOWN06,5551,3520,4481
TOWN07,6252,4008,5095
TOWN08,2896,1982,2408
TOWN09,4224,2925,3506
TOWN10,41435,28486,34227
TOWN11,13466,9168,11130
TOWN12,2846,1851,2333
TOWN13,3897,2393,3173
TOWN14,4901,3242,4075
TOWN15,4987,3480,4188
TOWN16,8779,5421,6745
TOWN17,4559,3013,3686
TOWN18,424,293,342
TOWN19,1025,631,811
TOWN20,18911,12338,15238
TOWN21,6668,4254,5457
TOWN22,3965,2457,3122
TOWN23,3314,2290,2743
TOWN24,4353,3003,3658
TOWN25,3449,2182,2845
TOWN26,7687,4960,6213
TOWN27,5172,3561,4292
TOWN28,10376,6922,8712
TOWN29,5636,3701,4586
DIV1,4331,2897,3579
DIV2,3386,2184,2713
DIV3,3199,2100,2610
DIV4,4277,3130,3753
DIV5,3619,2483,3060
DIV6,3006,1850,2317
DIV7,4038,2780,3424
DIV8,2874,1897,2418
DIV9,3006,1927,2373
DIV10,3260,2089,2623
DIV11,2592,1611,2008
DIV12,3140,1971,2444
DIV13,2402,1440,1887
DIV14,2874,1821,2257
DIV15,3563,2311,2904
DIV16,3258,2011,2586
DIV17,3361,2174,2764
DIV18,3457,2341,2836
DIV19,3825,2650,3162
DIV20,3869,2504,2984
DIV21,2692,1665,2068
DIV22,3575,2553,3005
DIV23,9345,6296,7715
DIV24,4404,3117,3828
DIV25,4135,2778,3469
DIV26,2668,1721,2129
DIV27,3177,1961,2557
DIV28,4119,2955,3585
DIV29,3897,2393,3173
DIV30,3454,2510,3010
DIV31,3022,1877,2362
DIV32,3141,1939,2398
DIV33,3167,2118,2578
DIV34,3694,2381,2949
DIV35,3640,2478,3039
DIV36,3542,2437,2990
DIV37,3253,2228,2669
DIV38,3742,2427,3090
DIV39,3086,1913,2410
DIV40,3730,2544,3181
DIV41,2740,1743,2178
DIV42,3606,2463,2982
DIV43,3851,2689,3260
DIV44,2971,1824,2295
DIV45,3029,1945,2504
DIV46,3828,2933,3214
DIV47,5118,3574,4066
DIV48,3289,2229,2717
DIV49,4230,2967,3556
DIV50,4107,2762,3476
DIV51,3616,2532,3122
DIV52,3352,2167,2755
DIV53,3387,2301,2820
DIV54,3136,2098,2533
DIV55,2780,1686,2210
DIV56,3351,2114,2701
DIV57,4093,2886,3579
DIV58,3640,2279,2883
CHSCTAXE,11425,7736,9468
CHSCTBARNSTAPLE,10175,6994,8597
CHSCTBIDEFORD,12034,8141,9997
CHSCTBRAUNTON,8672,5863,7155
CHSCTCREDITON,5488,3470,4400
CHSCTCULLOMPTON,7990,5109,6459
CHSCTDAWLISH,8907,6150,7380
CHSCTEXETERCHALL,19062,12815,15722
CHSCTEXETERSYCAMORE,22009,15446,18259
CHSCTEXMOUTH,13466,9168,11130
CHSCTHONITON,8384,5410,6830
CHSCTIVYBRIDGE,8716,5428,6751
CHSCTKINGSBRIDGE,4559,3013,3686
CHSCTNABBOT,14890,9794,12107
CHSCTOKE,7258,4629,5898
CHSCTSMOLTON,4367,2762,3596
CHSCTTAVISTOCK,8817,5636,7061
CHSCTTEIGN,7060,4521,5620
CHSCTTIVERTON,9916,6613,8355
CHSCTTORRINGTON,7543,4731,6149
CHSCTTOTNES,6218,4242,5156
Eastern,103966,69770,85679
Northern,43002,28610,35667
Southern,77291,53262,64387
Western,100950,69892,85068
