Area,2016
E01020003,#
E01020004,#
E01020005,0.007838806
E01020006,0.00498245
E01020007,#
E01020008,0
E01020009,#
E01020010,0.010120241
E01020011,0
E01020012,0.006626146
E01020013,#
E01020014,0.010084372
E01020015,0.009127323
E01020016,#
E01020017,0
E01020018,0.005765055
E01020019,#
E01020020,0
E01020021,#
E01020022,#
E01020023,#
E01020024,#
E01020025,#
E01020026,0.007663883
E01020027,#
E01020029,#
E01020030,#
E01020031,0.006600241
E01020032,#
E01020033,0.007240605
E01020035,#
E01020036,0.008314283
E01020037,0.009137343
E01020038,#
E01020039,0.007983085
E01020040,#
E01020041,0.00675934
E01020042,#
E01020043,0.006137704
E01020044,#
E01020045,0.008492768
E01020046,#
E01020047,#
E01020048,0.006374633
E01020049,#
E01020050,0.007787614
E01020051,#
E01020052,0.007636926
E01020053,0.00769133
E01020054,0.006083092
E01020055,0.009292492
E01020056,#
E01020057,0.006145613
E01020058,#
E01020059,#
E01020060,#
E01020061,0.005890223
E01020062,#
E01020063,0.00623719
E01020064,0.007436188
E01020065,0.004851859
E01020066,0.005616419
E01020067,0.009807339
E01020068,#
E01020069,#
E01020070,#
E01020071,0.010028934
E01020072,#
E01020073,#
E01020074,0
E01020075,#
E01020076,0.00762953
E01020077,#
E01020078,0.008009284
E01020079,0.011952161
E01020080,0
E01020081,0.010765034
E01020082,#
E01020083,0.005474234
E01020084,#
E01020085,#
E01020086,#
E01020087,#
E01020088,#
E01020089,0.005246507
E01020090,0.009090345
E01020091,#
E01020092,#
E01020093,#
E01020094,#
E01020095,0.007956288
E01020096,0.00901921
E01020097,#
E01020098,0.007866559
E01020099,#
E01020100,#
E01020101,0.010214033
E01020102,0.006619033
E01020103,0.014404578
E01020104,0.012626784
E01020105,#
E01020106,#
E01020107,0.012491313
E01020108,#
E01020109,#
E01020110,0.004532689
E01020111,0.008904093
E01020112,#
E01020113,#
E01020114,0
E01020115,#
E01020116,0.008350844
E01020117,0.012064385
E01020118,0.007299392
E01020119,#
E01020120,#
E01020121,0.008260376
E01020122,#
E01020123,#
E01020124,#
E01020125,#
E01020126,#
E01020127,#
E01020128,0.01135512
E01020129,0.010857351
E01020130,0.006639174
E01020131,0.010092997
E01020132,0
E01020133,#
E01020134,0.013037494
E01020135,0.016199672
E01020136,0.013580715
E01020137,0.010514735
E01020138,#
E01020139,0.011527874
E01020140,#
E01020141,0.010698949
E01020142,#
E01020143,#
E01020144,#
E01020145,#
E01020146,#
E01020147,#
E01020148,#
E01020149,#
E01020150,#
E01020151,#
E01020152,#
E01020153,0
E01020154,0.007129606
E01020155,#
E01020156,#
E01020157,#
E01020158,#
E01020159,#
E01020160,#
E01020161,0.005546178
E01020162,#
E01020163,#
E01020164,0
E01020165,#
E01020166,#
E01020167,#
E01020168,#
E01020169,#
E01020170,#
E01020171,#
E01020172,#
E01020173,#
E01020174,#
E01020175,0.009714469
E01020176,#
E01020177,0.010614611
E01020178,#
E01020179,#
E01020180,0.005980639
E01020181,0.010535038
E01020182,0.007878468
E01020183,#
E01020184,0.01021495
E01020185,#
E01020186,#
E01020187,#
E01020188,#
E01020189,0.006745279
E01020190,0.008118788
E01020191,#
E01020192,#
E01020193,#
E01020194,#
E01020195,#
E01020196,#
E01020197,#
E01020198,0.008644976
E01020199,0.010072132
E01020200,#
E01020201,#
E01020202,#
E01020203,#
E01020204,#
E01020205,#
E01020206,#
E01020207,0.007698832
E01020208,0.010594354
E01020209,#
E01020210,#
E01020211,0.007334852
E01020212,0.012511317
E01020213,#
E01020214,#
E01020215,#
E01020216,0.008159389
E01020217,#
E01020218,#
E01020219,#
E01020220,0.007025994
E01020221,#
E01020222,#
E01020223,#
E01020224,#
E01020225,#
E01020226,#
E01020227,0
E01020228,#
E01020229,0.006882775
E01020230,0.011070702
E01020231,#
E01020232,0.007661767
E01020233,#
E01020234,0.009425399
E01020235,0.01007941
E01020236,#
E01020237,#
E01020238,#
E01020239,#
E01020240,0.012298774
E01020241,0.011241975
E01020242,0.008012872
E01020243,#
E01020244,0.009856253
E01020245,#
E01020246,0
E01020247,0.008296123
E01020248,#
E01020249,#
E01020250,#
E01020251,#
E01020252,0.009469278
E01020253,#
E01020254,#
E01020255,#
E01020256,#
E01020257,#
E01020258,0.009743279
E01020259,0
E01020260,0
E01020261,0
E01020262,#
E01020263,0
E01020264,#
E01020265,#
E01020266,#
E01020267,#
E01020268,#
E01020269,#
E01020270,#
E01020271,#
E01020272,0.005861605
E01020273,0.011243017
E01020274,#
E01020275,#
E01020276,0.013317592
E01020277,0.010250837
E01020278,#
E01020279,0.007158707
E01020280,0.008025864
E01020281,0.006642184
E01020282,#
E01020283,#
E01020284,0.007393672
E01020285,0.008277882
E01020286,0.009918317
E01020287,#
E01020288,#
E01020289,#
E01020290,#
E01020291,0
E01020292,#
E01020293,0.008650687
E01020294,0.008241993
E01020295,#
E01020296,0.010919781
E01020297,0.008734427
E01020298,0.011187467
E01020299,0.011480909
E01020300,0
E01020301,0.006339987
E01020302,0.008877867
E01020303,0.013240026
E01020304,0.007349044
E01020305,0.01305997
E01020306,#
E01020307,0.011811537
E01020308,#
E01020309,#
E01020310,#
E01020311,0.008369245
E01020312,#
E01020313,#
E01020314,#
E01020315,0
E01020316,#
E01020317,#
E01020318,#
E01020319,#
E01020320,#
E01020321,0.006849596
E01020322,0.010753639
E01020323,#
E01020324,#
E01020325,#
E01020326,0.007035926
E01020327,#
E01020328,0.006978894
E01020329,#
E01020330,#
E01020331,0.008450259
E01020332,#
E01020333,#
E01020334,#
E01020335,0
E01020336,0
E01020337,#
E01020338,0.006047934
E01020339,#
E01020340,0
E01020341,#
E01020342,0.007860128
E01032628,#
E01032657,
E01032658,
E01033232,#
E01033233,#
E01033234,#
E01033235,#
E01033236,0
E07000040,0.000750726
E07000041,0.000699995
E07000042,0.001222156
E07000043,0.001347233
E07000044,0.001117964
E07000045,0.000969415
E07000046,0.00170338
E07000047,0.001410461
E10000008,0.000385672
E06000026,
E06000027,
IMDQ1,0.002227287
IMDQ2,0.000889339
IMDQ3,0.000655848
IMDQ4,0.00071132
IMDQ5,0.000707283
E02003122,
E02003123,
E02003124,
E02003125,
E02003126,
E02003127,
E02003128,
E02003129,
E02003130,
E02003131,
E02003132,
E02003133,
E02003134,
E02003135,
E02003136,
E02003137,
E02003138,
E02003139,
E02003140,
E02003141,
E02003142,
E02003143,
E02003144,
E02003145,
E02003146,
E02003147,
E02003148,
E02003149,
E02003150,
E02003151,
E02003152,
E02003153,
E02003154,
E02003155,
E02003156,
E02003157,
E02003158,
E02003159,
E02003161,
E02003163,
E02003164,
E02003165,
E02003166,
E02003167,
E02003168,
E02003169,
E02003170,
E02003171,
E02004129,0.002670083
E02004130,0.003221145
E02004131,#
E02004132,#
E02004133,0.001658754
E02004134,0.003551557
E02004135,0.004519069
E02004136,0.001856527
E02004137,#
E02004138,0.005550577
E02004139,#
E02004140,#
E02004141,#
E02004142,#
E02004143,0.004028632
E02004144,0.003211672
E02004145,#
E02004146,0.003478814
E02004147,0.003171364
E02004148,0.002689871
E02004149,0.000539761
E02004150,0.002239078
E02004151,0.00357548
E02004152,0.000797116
E02004153,0.002758485
E02004154,0.001711971
E02004155,0.00392952
E02004156,0.001759263
E02004157,0.003017264
E02004158,0.003180273
E02004159,0.002345865
E02004160,0.003775901
E02004161,0.00462787
E02004162,0.003127317
E02004163,0.003519261
E02004164,0.003646113
E02004165,0.00359353
E02004166,0.002803002
E02004167,0.00431859
E02004168,0.00502857
E02004169,0.003418889
E02004170,0.003661481
E02004171,0.003718182
E02004172,0.003362624
E02004173,0.002527436
E02004174,0.003371634
E02004175,0.003621242
E02004176,0.005690732
E02004177,0.004505818
E02004178,0.004095005
E02004179,0.003257755
E02004180,0.003340691
E02004181,0.004937606
E02004182,0.005071111
E02004183,0.004787387
E02004184,0.005001584
E02004185,0.004998761
E02004186,0.002947729
E02004187,0.005552944
E02004188,0.004267003
E02004189,0.002648741
E02004190,0.003059056
E02004191,0.004405491
E02004192,0.002625749
E02004193,0.001913139
E02004194,0.002990023
E02004195,0.005220832
E02004196,0.003563226
E02004197,0.003378035
E02004198,0.003726792
E02004199,0.005123257
E02004200,0.004975959
E02004201,#
E02004202,0.004905784
E02004203,0.00501526
E02004204,0.002816285
E02004205,0.004482675
E02004206,0.005227311
E02004207,0.003072784
E02004208,0.002903584
E02004209,0.003053373
E02004210,0.003546797
E02004211,#
E02004212,0.003723886
E02004213,0.003692542
E02004214,0.002925169
E02004215,0.003438577
E02004216,0.004996316
E02004217,0.004025651
E02004218,0.003608505
E02004219,0.003985392
E02004220,0.006268671
E02004221,0.005215413
E02004222,0.004646871
E02004223,0.003732414
E02004224,0.004730352
E02004225,0.005666696
E02004226,0.005039042
E02004227,0.003870058
E02004228,0.004431215
E02004229,0.004425636
E02004230,0.003911774
E02004231,0.003714015
E02004232,0.003446781
E02004233,0.001975595
E02004234,0.003430159
E02004235,0.003171705
E02006840,
TOWN01,0.004025651
TOWN02,0.001890832
TOWN03,0.001915398
TOWN04,0.002243232
TOWN05,0.002996317
TOWN06,0.001932228
TOWN07,0.001992874
TOWN08,0.003755808
TOWN09,0.003400177
TOWN10,0.000685694
TOWN11,0.001220877
TOWN12,0.004261716
TOWN13,0.003016886
TOWN14,0.001440576
TOWN15,0.002559202
TOWN16,0.001387915
TOWN17,0.002529325
TOWN18,#
TOWN19,0.00611376
TOWN20,0.00115797
TOWN21,0.002277386
TOWN22,0.001549246
TOWN23,0.004287707
TOWN24,0.00140733
TOWN25,0.004456931
TOWN26,0.001628298
TOWN27,0.002157431
TOWN28,0.001906289
TOWN29,0.002345943
DIV1,0.002419812
DIV2,0.003039274
DIV3,0.001727457
DIV4,0.00348218
DIV5,0.004056161
DIV6,0.002176118
DIV7,0.003471016
DIV8,0.003751577
DIV9,0.002257397
DIV10,0.002996317
DIV11,0.00296693
DIV12,0.002984823
DIV13,0.0034124
DIV14,0.003038101
DIV15,0.002712416
DIV16,
DIV17,0.002934282
DIV18,0.002894996
DIV19,0.003528852
DIV20,0.000612415
DIV21,0.004045213
DIV22,0.002063813
DIV23,0.001482793
DIV24,0.002397378
DIV25,0.001559165
DIV26,0.002918084
DIV27,0.003317668
DIV28,0.002728226
DIV29,0.003016886
DIV30,0.003048641
DIV31,0.002474663
DIV32,0.001913139
DIV33,0.003184368
DIV34,0.002395133
DIV35,0.00275548
DIV36,0.00263117
DIV37,0.004342398
DIV38,0.002785722
DIV39,0.001432609
DIV40,0.002729701
DIV41,0.002949322
DIV42,0.003806483
DIV43,0.001646357
DIV44,0.002844641
DIV45,0.004876184
DIV46,0.001919472
DIV47,0.00088596
DIV48,0.001975595
DIV49,0.002391765
DIV50,0.002978926
DIV51,0.003365879
DIV52,0.003932468
DIV53,0.003304383
DIV54,0.002479764
DIV55,0.001960963
DIV56,0.00252789
DIV57,0.00314019
DIV58,0.002439699
CHSCTAXE,
CHSCTBARNSTAPLE,0.002218355
CHSCTBIDEFORD,0.002002311
CHSCTBRAUNTON,0.001980982
CHSCTCREDITON,0.00194256
CHSCTCULLOMPTON,0.001790256
CHSCTDAWLISH,0.001983833
CHSCTEXETERCHALL,0.001300998
CHSCTEXETERSYCAMORE,0.000764539
CHSCTEXMOUTH,0.001220877
CHSCTHONITON,0.001057329
CHSCTIVYBRIDGE,0.001452976
CHSCTKINGSBRIDGE,0.002529325
CHSCTNABBOT,0.001191367
CHSCTOKE,0.002304349
CHSCTSMOLTON,0.003805234
CHSCTTAVISTOCK,0.001404055
CHSCTTEIGN,0.002589911
CHSCTTIVERTON,0.001906176
CHSCTTORRINGTON,0.002398729
CHSCTTOTNES,0.002655307
Eastern,
Northern,
Southern,
Western,
