,,15,22,29,36,43,50,57
E01015248,Torbay 018E,,,,,,,
E01015249,Torbay 003A,,,,,,,
E01015250,Torbay 003B,,,,,,,
E01015251,Torbay 003C,,,,,,,
E01015252,Torbay 003D,,,,,,,
E01015253,Torbay 003E,,,,,,,
E01015254,Torbay 003F,,,,,,,
E01015255,Torbay 008B,,,,,,,
E01015256,Torbay 008C,,,,,,,
E01015257,Torbay 004A,,,,,,,
E01015258,Torbay 004B,,,,,,,
E01015259,Torbay 004C,,,,,,,
E01015260,Torbay 004D,,,,,,,
E01015261,Torbay 008D,,,,,,,
E01015262,Torbay 001A,,,,,,,
E01015263,Torbay 001B,,,,,,,
E01015264,Torbay 001C,,,,,,,
E01015265,Torbay 001D,,,,,,,
E01015266,Torbay 001E,,,,,,,
E01015267,Torbay 010A,,,,,,,
E01015268,Torbay 010B,,,,,,,
E01015269,Torbay 010C,,,,,,,
E01015270,Torbay 010D,,,,,,,
E01015271,Torbay 010E,,,,,,,
E01019886,East Devon 005A,#,#,#,#,#,#,119.0617931
E01019887,East Devon 005B,#,#,#,#,#,#,#
E01019888,East Devon 005C,#,#,#,#,#,#,#
E01019889,East Devon 005D,#,#,#,#,#,#,101.4816318
E01019890,East Devon 009A,#,#,#,127.4349172,128.0175567,128.0175567,#
E01019891,East Devon 006A,#,#,#,#,#,#,#
E01019892,East Devon 006B,#,#,#,#,#,#,#
E01019893,East Devon 006C,#,#,143.6523613,143.4462973,141.1681666,81.76614881,91.35200974
E01019894,East Devon 017A,#,#,#,#,#,#,#
E01019895,East Devon 017B,#,#,#,#,#,#,#
E01019896,East Devon 017C,#,#,#,#,#,#,#
E01019897,East Devon 017D,#,#,#,#,#,#,#
E01019898,East Devon 014A,214.992117,172.0183486,156.4945227,113.2022074,112.0762118,97.83368274,181.3616071
E01019899,East Devon 007A,#,#,#,#,#,#,#
E01019900,East Devon 007B,#,#,#,#,#,#,#
E01019901,East Devon 009B,#,#,126.1988894,#,302.0387616,302.1908839,352.1126761
E01019902,East Devon 001A,#,#,#,#,#,80.5931657,112.7940703
E01019903,East Devon 006D,#,#,#,#,#,#,#
E01019904,East Devon 015A,#,#,#,#,#,#,#
E01019905,East Devon 015B,#,#,#,#,#,#,#
E01019906,East Devon 015C,#,#,#,#,#,#,#
E01019907,East Devon 015D,#,#,#,#,#,#,#
E01019908,East Devon 016A,#,#,#,#,#,#,#
E01019909,East Devon 016B,#,#,#,#,#,#,#
E01019910,East Devon 016C,#,#,#,#,#,#,#
E01019911,East Devon 016D,#,#,#,#,#,#,#
E01019912,East Devon 020A,#,#,#,#,#,#,#
E01019913,East Devon 020B,#,#,#,#,#,#,#
E01019914,East Devon 020C,#,#,#,#,#,#,#
E01019915,East Devon 020D,#,#,#,#,#,#,#
E01019916,East Devon 019A,#,109.8699872,123.0444718,#,#,#,#
E01019917,East Devon 019B,#,#,#,#,#,#,#
E01019918,East Devon 019C,#,#,#,#,#,#,#
E01019919,East Devon 019D,#,#,#,#,#,#,#
E01019920,East Devon 018A,#,#,#,#,#,#,#
E01019921,East Devon 018B,#,#,#,#,#,#,#
E01019922,East Devon 018C,#,#,#,#,#,#,#
E01019923,East Devon 018D,#,#,#,#,#,#,#
E01019924,East Devon 018E,#,#,#,#,#,#,#
E01019925,East Devon 004A,#,#,#,#,#,#,#
E01019927,East Devon 002A,#,#,#,#,#,#,#
E01019928,East Devon 003A,#,#,#,#,#,#,#
E01019929,East Devon 003B,#,#,#,#,#,#,#
E01019930,East Devon 003C,#,#,#,#,#,#,#
E01019931,East Devon 003D,#,#,#,#,#,#,#
E01019932,East Devon 002B,#,#,#,#,#,#,#
E01019933,East Devon 002C,#,#,#,#,#,#,#
E01019934,East Devon 002D,#,#,#,#,#,#,#
E01019935,East Devon 007C,#,#,#,#,#,#,241.3515688
E01019936,East Devon 007D,328.7507472,328.6525246,298.7750224,#,149.7902936,181.1047389,242.4977266
E01019937,East Devon 013A,#,#,#,#,#,78.75255946,#
E01019938,East Devon 001B,121.7841376,151.3546239,255.6390977,221.4675919,248.320187,174.4186047,218.5314685
E01019939,East Devon 008A,#,#,#,#,#,#,#
E01019940,East Devon 008B,#,#,#,#,#,#,#
E01019942,East Devon 008C,#,#,#,#,#,#,#
E01019943,East Devon 008D,#,#,#,#,#,#,#
E01019944,East Devon 008E,#,#,#,#,#,#,#
E01019945,East Devon 013B,#,#,#,#,#,87.60402979,115.7574881
E01019946,East Devon 010A,#,#,#,#,#,#,#
E01019947,East Devon 010B,#,#,#,#,#,#,#
E01019948,East Devon 010C,#,#,#,#,#,#,#
E01019949,East Devon 010D,#,#,#,#,#,#,#
E01019950,East Devon 010E,#,#,#,#,#,#,#
E01019951,East Devon 009C,#,#,#,#,#,#,#
E01019952,East Devon 011A,#,#,#,#,#,#,#
E01019953,East Devon 011B,#,#,#,#,#,#,#
E01019954,East Devon 011C,#,#,#,#,#,#,#
E01019955,East Devon 011D,#,#,#,#,#,#,#
E01019956,East Devon 012A,#,#,#,#,#,#,#
E01019957,East Devon 012B,#,#,#,#,#,#,#
E01019958,East Devon 012C,#,#,#,#,#,#,#
E01019959,East Devon 004D,#,#,#,#,#,#,#
E01019960,East Devon 004E,#,#,#,#,#,#,#
E01019961,East Devon 007E,#,#,#,103.6403679,115.5920884,153.2175689,127.3398701
E01019962,East Devon 004F,#,#,#,#,#,#,#
E01019963,East Devon 013C,#,#,#,#,#,#,#
E01019964,East Devon 014B,68.39009711,108.9621357,94.11132025,80.13890744,#,#,#
E01019965,East Devon 014C,#,#,#,#,#,#,#
E01019966,East Devon 005E,#,#,#,#,#,#,160.8751609
E01019967,East Devon 001C,153.7279016,179.9948573,204.4989775,#,#,#,179.3032787
E01019968,Exeter 014A,#,#,#,#,#,#,#
E01019969,Exeter 014B,#,#,150.9054326,126.1670452,175.3067869,#,122.0703125
E01019970,Exeter 014C,#,#,#,#,#,121.4181642,121.2709192
E01019971,Exeter 014D,#,#,#,#,#,#,#
E01019972,Exeter 014E,#,#,#,#,#,#,#
E01019973,Exeter 012A,#,#,#,#,#,#,#
E01019974,Exeter 012B,#,#,#,#,#,#,#
E01019975,Exeter 010A,#,#,#,#,#,#,#
E01019976,Exeter 012C,#,#,#,#,#,#,#
E01019977,Exeter 012D,#,#,#,#,#,#,#
E01019980,Exeter 005A,#,#,#,#,#,#,#
E01019981,Exeter 012E,#,#,#,#,#,#,#
E01019982,Exeter 005B,#,#,#,#,#,#,#
E01019983,Exeter 005C,#,#,#,#,#,#,#
E01019984,Exeter 005D,#,#,#,#,#,#,#
E01019985,Exeter 005E,#,#,#,#,#,#,#
E01019986,Exeter 007A,#,#,#,#,#,#,#
E01019987,Exeter 006A,#,#,#,#,#,#,#
E01019988,Exeter 013A,#,#,#,#,#,#,#
E01019989,Exeter 006B,#,#,#,#,#,#,#
E01019990,Exeter 002A,#,#,#,#,#,#,#
E01019991,Exeter 002B,#,#,#,#,#,#,#
E01019992,Exeter 003A,#,#,#,#,#,#,#
E01019993,Exeter 002C,#,#,#,#,#,#,#
E01019994,Exeter 008A,#,#,#,#,#,#,#
E01019995,Exeter 008B,148.0019734,194.3162497,165.994783,204.0816327,150.6348182,158.6986709,111.7734724
E01019996,Exeter 009A,#,#,#,#,#,#,#
E01019997,Exeter 004A,#,#,#,#,#,#,#
E01019998,Exeter 001C,#,#,#,#,#,#,#
E01019999,Exeter 001D,#,#,#,#,#,#,#
E01020000,Exeter 002D,#,#,#,#,#,#,#
E01020001,Exeter 001E,#,#,#,#,#,#,#
E01020002,Exeter 003B,#,#,#,#,#,#,#
E01020003,Exeter 003C,#,#,#,#,#,#,#
E01020004,Exeter 003D,#,#,#,#,#,#,#
E01020005,Exeter 003E,#,#,#,#,#,#,#
E01020006,Exeter 006C,#,#,#,79.46598856,107.8416269,75.3920386,#
E01020007,Exeter 002E,#,#,#,#,#,#,#
E01020008,Exeter 006D,#,#,#,#,#,#,#
E01020009,Exeter 006E,#,#,#,#,#,#,#
E01020010,Exeter 013B,#,#,#,#,#,#,#
E01020011,Exeter 015A,#,#,#,#,#,#,#
E01020012,Exeter 015B,#,#,#,#,#,#,#
E01020013,Exeter 013C,#,#,#,#,#,#,#
E01020014,Exeter 013D,#,#,#,#,#,#,#
E01020015,Exeter 013E,#,#,#,#,#,#,#
E01020016,Exeter 008C,#,#,#,#,#,108.1749343,75.74609908
E01020017,Exeter 008D,#,#,#,#,68.53070175,80.23535705,92.32392509
E01020018,Exeter 008E,#,#,85.79272478,#,#,#,#
E01020019,Exeter 004B,#,#,#,#,#,#,#
E01020020,Exeter 004C,#,#,#,#,#,#,#
E01020021,Exeter 004D,#,#,#,#,#,#,#
E01020022,Exeter 004E,#,#,#,#,#,#,#
E01020023,Exeter 009B,#,#,#,#,#,#,#
E01020024,Exeter 009C,#,#,#,#,#,#,#
E01020025,Exeter 009D,#,#,#,#,#,#,#
E01020026,Exeter 011A,#,#,#,#,#,#,#
E01020027,Exeter 011B,#,#,#,#,#,#,#
E01020029,Exeter 010B,#,#,#,#,#,#,#
E01020030,Exeter 010C,#,#,#,#,#,#,#
E01020031,Exeter 010D,#,#,#,#,#,#,#
E01020032,Exeter 010E,#,#,#,#,#,#,#
E01020033,Exeter 015C,#,#,#,#,#,82.22331853,78.21054278
E01020035,Exeter 011D,160.0853789,143.3691756,105.5297594,#,#,81.5261699,74.60459564
E01020036,Exeter 007B,#,#,#,#,#,#,#
E01020037,Exeter 007C,#,#,#,#,#,#,#
E01020038,Exeter 011E,#,#,#,#,#,#,#
E01020039,Exeter 007D,#,#,#,#,#,#,#
E01020040,Exeter 007E,#,#,#,#,#,#,#
E01020041,Mid Devon 011A,#,#,#,#,#,#,#
E01020042,Mid Devon 011B,#,#,#,#,#,#,#
E01020043,Mid Devon 008A,#,#,#,#,#,#,#
E01020044,Mid Devon 008B,#,#,#,#,#,#,#
E01020045,Mid Devon 006A,#,#,#,#,#,#,103.950104
E01020046,Mid Devon 001A,#,#,#,#,#,#,#
E01020047,Mid Devon 002A,#,#,#,#,#,#,#
E01020048,Mid Devon 005A,#,#,#,#,#,#,#
E01020049,Mid Devon 001B,#,#,#,#,#,#,154.1227845
E01020050,Mid Devon 001C,95.66326531,110.6894371,110.864745,#,#,#,#
E01020051,Mid Devon 002B,#,#,#,#,#,#,#
E01020052,Mid Devon 004A,#,#,#,#,#,#,#
E01020053,Mid Devon 004B,#,#,#,#,#,#,#
E01020054,Mid Devon 007A,#,#,#,#,#,#,#
E01020055,Mid Devon 007B,#,#,#,#,#,#,#
E01020056,Mid Devon 008C,132.0349893,130.6975984,145.678213,97.05596894,80.36001286,142.0678769,108.6619062
E01020057,Mid Devon 007C,#,#,#,#,#,#,#
E01020058,Mid Devon 007D,#,#,#,#,#,#,#
E01020059,Mid Devon 006B,#,#,#,#,94.51795841,94.53285017,#
E01020060,Mid Devon 011C,#,#,#,#,#,#,#
E01020061,Mid Devon 011D,#,#,#,#,#,#,#
E01020062,Mid Devon 006C,#,#,#,#,#,#,#
E01020063,Mid Devon 003A,#,#,#,#,#,#,#
E01020064,Mid Devon 006D,#,#,#,#,#,#,#
E01020065,Mid Devon 004C,#,#,#,#,84.6310088,100.4856808,#
E01020066,Mid Devon 002C,#,#,#,#,#,#,#
E01020067,Mid Devon 004D,#,#,#,#,#,#,#
E01020068,Mid Devon 010A,109.1703057,#,#,#,#,#,#
E01020069,Mid Devon 010B,#,#,#,#,#,#,#
E01020070,Mid Devon 010C,#,#,#,#,#,#,#
E01020071,Mid Devon 008D,#,#,#,#,#,#,#
E01020072,Mid Devon 009A,#,#,#,#,#,#,98.73617694
E01020073,Mid Devon 009B,#,#,#,#,#,142.3921888,100.623868
E01020074,Mid Devon 003B,#,#,#,#,#,#,#
E01020075,Mid Devon 003C,#,#,#,#,#,#,#
E01020076,Mid Devon 009C,#,#,#,#,#,#,#
E01020077,Mid Devon 001D,#,#,#,#,#,#,#
E01020078,Mid Devon 005B,#,#,#,#,#,#,#
E01020079,Mid Devon 005C,#,#,#,#,#,#,#
E01020080,Mid Devon 002D,#,#,#,#,#,#,#
E01020081,Mid Devon 005D,#,#,#,#,#,#,128.4026708
E01020082,Mid Devon 009D,#,#,#,#,#,#,#
E01020083,Mid Devon 010D,73.9863865,#,85.05812305,84.19870895,83.93956351,84.06893653,112.2177023
E01020084,North Devon 012A,#,#,#,#,#,#,#
E01020085,North Devon 012B,#,#,#,#,#,#,#
E01020086,North Devon 012C,#,#,#,#,#,#,#
E01020087,North Devon 014A,121.233114,174.0341107,242.4242424,205.3036784,320.6209922,248.6325211,213.2196162
E01020088,North Devon 006A,#,#,79.11392405,95.14747859,112.1076233,128.9075089,177.9359431
E01020089,North Devon 005A,#,#,#,#,#,#,#
E01020090,North Devon 004A,#,#,#,#,#,#,#
E01020091,North Devon 005B,#,#,#,#,#,#,#
E01020092,North Devon 005C,#,#,#,#,#,#,#
E01020093,North Devon 005D,#,#,#,#,#,#,#
E01020094,North Devon 008A,#,#,#,#,#,#,#
E01020095,North Devon 008B,#,#,#,#,#,#,#
E01020096,North Devon 009A,#,#,#,#,#,#,#
E01020097,North Devon 013A,#,87.62961881,117.0275015,73.33528894,116.5161666,72.46376812,144.1337561
E01020098,North Devon 014B,#,#,79.28956549,#,#,#,#
E01020099,North Devon 002A,#,#,#,#,#,170.6900756,146.3057791
E01020100,North Devon 002B,#,#,152.578578,#,183.0384381,#,#
E01020101,North Devon 002C,#,#,#,#,#,#,#
E01020102,North Devon 010A,#,#,#,#,#,#,#
E01020103,North Devon 010B,#,#,#,#,#,#,#
E01020104,North Devon 010C,#,#,#,#,#,#,#
E01020105,North Devon 011A,#,#,#,#,#,#,#
E01020106,North Devon 011B,#,#,#,#,#,#,#
E01020107,North Devon 011C,#,#,#,#,#,#,#
E01020108,North Devon 004B,#,#,86.29368618,116.6690973,162.2658209,119.0299063,104.3219076
E01020109,North Devon 004C,#,#,#,#,#,#,#
E01020110,North Devon 005E,#,#,58.91363261,#,83.29366968,84.08408408,84.15484491
E01020111,North Devon 001A,#,#,#,#,#,#,#
E01020112,North Devon 001B,#,#,#,#,#,#,#
E01020113,North Devon 003A,#,#,#,#,#,#,#
E01020114,North Devon 001C,#,#,#,#,#,#,#
E01020115,North Devon 001D,#,#,#,#,#,#,#
E01020116,North Devon 003B,#,#,#,#,#,#,#
E01020117,North Devon 003C,#,#,177.6988005,#,#,#,#
E01020118,North Devon 003D,#,#,#,#,#,#,#
E01020119,North Devon 011D,174.9398644,176.7174729,133.5707925,112.2586439,225.8866049,365.9652333,370.0277521
E01020120,North Devon 006B,#,#,#,#,#,#,#
E01020121,North Devon 012D,#,#,#,#,#,#,#
E01020122,North Devon 012E,97.48488984,97.18172983,#,115.8077591,115.4290112,115.2737752,#
E01020123,North Devon 009B,#,#,#,#,#,#,#
E01020124,North Devon 009C,#,#,123.1223836,#,#,#,#
E01020125,North Devon 009D,#,#,#,#,#,#,#
E01020126,North Devon 002D,#,#,#,#,141.8439716,205.5921053,146.0463175
E01020127,North Devon 006C,123.5875706,141.2180053,230.8238636,268.2403433,284.7481758,228.7121745,156.6852368
E01020128,North Devon 010D,#,#,#,#,#,#,#
E01020129,North Devon 010E,#,#,#,#,#,#,#
E01020130,North Devon 010F,#,#,#,#,#,#,#
E01020131,North Devon 013B,#,#,75.52870091,90.40229019,#,#,#
E01020132,North Devon 007A,#,#,#,#,#,#,#
E01020133,North Devon 007B,#,#,#,#,#,#,#
E01020134,North Devon 007C,#,#,#,#,#,#,#
E01020135,North Devon 013C,#,#,#,#,#,#,#
E01020136,North Devon 013D,#,#,#,#,#,#,#
E01020137,North Devon 013E,#,#,#,#,#,#,#
E01020138,North Devon 014C,116.7201634,72.61109498,72.00460829,#,70.71135624,69.87143656,#
E01020139,North Devon 007D,#,#,#,#,#,#,#
E01020140,North Devon 008C,#,#,#,#,#,#,#
E01020141,North Devon 008D,#,#,#,#,#,#,#
E01020142,South Hams 006A,#,#,#,#,#,#,#
E01020143,South Hams 006B,74.03020432,74.11799585,#,#,#,87.17129159,#
E01020144,South Hams 001A,#,#,#,#,#,#,#
E01020145,South Hams 001B,#,#,85.3485064,92.96560273,#,#,#
E01020146,South Hams 001C,#,#,#,#,#,#,#
E01020147,South Hams 008A,#,#,#,#,#,#,#
E01020148,South Hams 002A,#,#,#,147.8415139,147.579693,#,#
E01020149,South Hams 001D,292.0095567,242.2611036,296.9762419,267.594327,313.397754,333.3333333,380.8073115
E01020150,South Hams 006C,#,#,112.6549005,113.5288553,93.51037965,#,#
E01020151,South Hams 007A,#,#,#,#,#,#,#
E01020152,South Hams 007B,#,#,#,#,#,#,#
E01020153,South Hams 004A,#,#,#,#,#,#,#
E01020154,South Hams 007C,#,#,#,#,#,#,#
E01020155,South Hams 007D,#,#,#,#,#,#,#
E01020156,South Hams 004B,#,89.47745168,176.9598301,138.2170007,117.9443976,#,115.0369762
E01020157,South Hams 002B,#,#,#,#,71.19464616,85.13053348,127.2804412
E01020158,South Hams 008B,#,#,#,#,#,#,#
E01020159,South Hams 008C,#,#,115.928588,182.9407729,225.4791432,243.7403058,217.2024327
E01020160,South Hams 002C,182.1493625,90.23641942,#,#,121.9724691,103.9140977,#
E01020161,South Hams 005A,#,#,#,#,#,#,#
E01020162,South Hams 005B,#,#,#,#,#,#,#
E01020163,South Hams 005C,#,#,#,#,#,#,#
E01020164,South Hams 005D,#,#,#,#,#,#,#
E01020165,South Hams 005E,#,#,#,#,#,#,#
E01020166,South Hams 005F,#,#,#,#,#,#,#
E01020167,South Hams 005G,143.9539347,#,#,#,#,#,#
E01020168,South Hams 010A,#,#,#,#,#,#,#
E01020169,South Hams 010B,#,#,#,#,#,#,#
E01020170,South Hams 004C,#,#,#,#,#,#,#
E01020171,South Hams 009A,#,#,#,#,#,#,#
E01020172,South Hams 012A,#,#,#,#,#,#,#
E01020173,South Hams 012B,#,#,#,#,#,#,#
E01020174,South Hams 011A,#,#,#,#,#,#,#
E01020175,South Hams 011B,#,#,#,#,#,#,#
E01020176,South Hams 002D,#,#,#,#,#,151.3317191,212.7659574
E01020177,South Hams 002E,#,#,#,#,#,#,#
E01020178,South Hams 011C,#,#,#,#,#,#,#
E01020179,South Hams 012C,#,#,#,105.969622,121.8450827,102.8101439,#
E01020180,South Hams 003A,#,#,#,#,#,#,#
E01020181,South Hams 003B,#,#,#,#,#,#,#
